transaction_id,timestamp,transaction_type,merchant_category,amount_inr,transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend
TXN400000000083,23-06-2024 02:09:00,P2P,Entertainment,3331,SUCCESS,26-35,26-35,Tamil Nadu,Kotak,Yes Bank,iOS,WiFi,0,2,Sunday,1
TXN400000000084,24-07-2024 04:33:00,Recharge,Shopping,10726,SUCCESS,18-25,46-55,Gujarat,HDFC,HDFC,iOS,4G,1,4,Wednesday,0
TXN400000000085,10-08-2024 07:42:00,Recharge,Food,11549,FAILED,26-35,36-45,Rajasthan,PNB,Axis,iOS,3G,0,7,Saturday,1
TXN400000000086,27-04-2024 01:47:00,P2P,Healthcare,2573,FAILED,56+,36-45,Gujarat,HDFC,SBI,Android,3G,0,1,Saturday,1
TXN400000000087,16-04-2024 16:48:00,Recharge,Entertainment,2916,SUCCESS,26-35,26-35,Gujarat,ICICI,SBI,Android,5G,0,16,Tuesday,0
TXN400000000088,05-02-2024 12:53:00,P2P,Entertainment,10038,FAILED,36-45,56+,Karnataka,ICICI,HDFC,Android,3G,1,12,Monday,0
TXN400000000089,14-11-2024 20:59:00,P2P,Grocery,12013,SUCCESS,26-35,36-45,Maharashtra,Yes Bank,Yes Bank,iOS,3G,0,20,Thursday,0
TXN400000000090,10-04-2024 10:12:00,Recharge,Fuel,7324,SUCCESS,26-35,26-35,Maharashtra,SBI,ICICI,iOS,5G,0,10,Wednesday,0
TXN400000000091,21-03-2024 05:46:00,P2P,Grocery,12076,FAILED,18-25,26-35,Delhi,Kotak,SBI,Android,4G,0,5,Thursday,0
TXN400000000092,31-03-2024 08:58:00,Recharge,Entertainment,17106,SUCCESS,18-25,36-45,Gujarat,Yes Bank,Axis,Android,3G,1,8,Sunday,1
TXN400000000093,02-06-2024 01:09:00,Recharge,Shopping,6925,FAILED,18-25,46-55,Tamil Nadu,Yes Bank,Yes Bank,Android,4G,1,1,Sunday,1
TXN400000000094,30-11-2024 04:10:00,P2M,Food,7016,FAILED,26-35,56+,Delhi,HDFC,Kotak,iOS,5G,0,4,Saturday,1
TXN400000000095,11-09-2024 04:22:00,P2M,Grocery,9656,SUCCESS,46-55,36-45,Gujarat,PNB,Axis,Android,5G,1,4,Wednesday,0
TXN400000000096,30-07-2024 18:03:00,Bill Payment,Shopping,3924,SUCCESS,56+,36-45,Karnataka,Axis,SBI,Android,3G,1,18,Tuesday,0
TXN400000000097,11-01-2024 15:42:00,P2M,Food,17535,SUCCESS,18-25,18-25,Tamil Nadu,HDFC,Kotak,Android,WiFi,1,15,Thursday,0
TXN400000000098,14-08-2024 12:57:00,Bill Payment,Fuel,9659,FAILED,26-35,46-55,Rajasthan,Axis,Yes Bank,iOS,5G,1,12,Wednesday,0
TXN400000000099,06-04-2024 07:53:00,P2M,Grocery,4567,FAILED,26-35,36-45,Delhi,PNB,Axis,Android,5G,0,7,Saturday,1
TXN400000000100,08-06-2024 14:25:00,P2P,Entertainment,2273,SUCCESS,46-55,56+,Karnataka,PNB,ICICI,Android,WiFi,1,14,Saturday,1
TXN400000000101,26-04-2024 20:55:00,P2P,Utilities,3879,FAILED,46-55,18-25,Gujarat,PNB,SBI,iOS,WiFi,0,20,Friday,0
TXN400000000102,15-10-2024 18:37:00,Bill Payment,Utilities,10079,FAILED,26-35,26-35,Gujarat,Kotak,Axis,Android,WiFi,0,18,Tuesday,0
TXN400000000103,07-05-2024 12:46:00,P2P,Food,3207,SUCCESS,46-55,26-35,Gujarat,SBI,SBI,Android,5G,0,12,Tuesday,0
TXN400000000104,16-10-2024 16:14:00,P2P,Healthcare,16202,SUCCESS,36-45,36-45,Karnataka,ICICI,SBI,iOS,5G,1,16,Wednesday,0
TXN400000000105,01-12-2024 14:55:00,P2M,Utilities,17097,SUCCESS,18-25,18-25,Maharashtra,Axis,SBI,iOS,5G,0,14,Sunday,1
TXN400000000106,22-06-2024 15:33:00,P2M,Utilities,18280,SUCCESS,46-55,46-55,Maharashtra,Axis,SBI,iOS,4G,0,15,Saturday,1
TXN400000000107,22-04-2024 09:36:00,P2M,Entertainment,5162,FAILED,18-25,18-25,Karnataka,SBI,ICICI,Android,5G,0,9,Monday,0
TXN400000000108,04-07-2024 02:14:00,P2M,Food,18648,FAILED,36-45,18-25,Maharashtra,ICICI,SBI,Android,5G,0,2,Thursday,0
TXN400000000109,03-12-2024 15:56:00,Recharge,Shopping,19092,FAILED,36-45,26-35,Maharashtra,PNB,PNB,Android,4G,1,15,Tuesday,0
TXN400000000110,25-04-2024 22:05:00,Recharge,Grocery,16118,FAILED,36-45,36-45,Gujarat,Axis,PNB,iOS,5G,1,22,Thursday,0
TXN400000000111,10-05-2024 21:18:00,Recharge,Utilities,11876,SUCCESS,36-45,26-35,Rajasthan,Kotak,Kotak,Android,3G,1,21,Friday,0
TXN400000000112,03-08-2024 05:13:00,Bill Payment,Utilities,12036,SUCCESS,26-35,26-35,Maharashtra,HDFC,SBI,iOS,3G,1,5,Saturday,1
TXN400000000113,25-02-2024 02:15:00,P2P,Utilities,15431,FAILED,26-35,26-35,Tamil Nadu,ICICI,PNB,Android,4G,1,2,Sunday,1
TXN400000000114,20-11-2024 16:20:00,P2P,Shopping,15913,SUCCESS,18-25,46-55,Gujarat,PNB,Kotak,Android,3G,1,16,Wednesday,0
TXN400000000115,28-08-2024 05:03:00,Bill Payment,Entertainment,12170,FAILED,56+,18-25,Gujarat,SBI,Yes Bank,Android,3G,0,5,Wednesday,0
TXN400000000116,27-08-2024 18:59:00,P2M,Healthcare,17813,FAILED,56+,26-35,Rajasthan,HDFC,Yes Bank,iOS,5G,1,18,Tuesday,0
TXN400000000117,13-03-2024 22:30:00,P2M,Healthcare,3204,FAILED,26-35,26-35,Tamil Nadu,PNB,Axis,iOS,3G,0,22,Wednesday,0
TXN400000000118,11-03-2024 04:43:00,P2P,Healthcare,6772,SUCCESS,56+,36-45,Tamil Nadu,PNB,HDFC,iOS,WiFi,0,4,Monday,0
TXN400000000119,04-12-2024 20:39:00,P2P,Grocery,19983,FAILED,56+,18-25,Karnataka,HDFC,SBI,iOS,4G,1,20,Wednesday,0
TXN400000000120,01-10-2024 19:03:00,Bill Payment,Grocery,2720,SUCCESS,18-25,56+,Maharashtra,PNB,Axis,iOS,4G,1,19,Tuesday,0
TXN400000000121,11-02-2024 03:01:00,Bill Payment,Healthcare,1671,SUCCESS,56+,36-45,Delhi,SBI,Kotak,iOS,WiFi,1,3,Sunday,1
TXN400000000122,25-04-2024 12:34:00,Bill Payment,Shopping,13987,FAILED,26-35,26-35,Gujarat,Yes Bank,ICICI,Android,WiFi,0,12,Thursday,0
TXN400000000123,07-05-2024 03:44:00,Bill Payment,Utilities,17454,SUCCESS,36-45,56+,Delhi,SBI,Kotak,iOS,4G,1,3,Tuesday,0
TXN400000000124,12-01-2024 08:13:00,Recharge,Entertainment,19172,SUCCESS,46-55,36-45,Delhi,Axis,Yes Bank,Android,3G,1,8,Friday,0
TXN400000000125,20-03-2024 17:39:00,Bill Payment,Healthcare,17711,SUCCESS,18-25,56+,Karnataka,Yes Bank,HDFC,iOS,4G,1,17,Wednesday,0
TXN400000000126,01-09-2024 10:22:00,P2M,Fuel,18630,SUCCESS,18-25,46-55,Rajasthan,HDFC,Yes Bank,Android,3G,0,10,Sunday,1
TXN400000000127,23-04-2024 03:43:00,Bill Payment,Grocery,16910,FAILED,46-55,18-25,Rajasthan,Yes Bank,PNB,iOS,4G,0,3,Tuesday,0
TXN400000000128,23-06-2024 01:16:00,P2M,Grocery,10160,SUCCESS,46-55,26-35,Maharashtra,Kotak,Axis,iOS,WiFi,0,1,Sunday,1
TXN400000000129,07-03-2024 09:44:00,P2P,Shopping,11803,SUCCESS,18-25,46-55,Karnataka,Kotak,SBI,iOS,5G,1,9,Thursday,0
TXN400000000130,06-06-2024 11:08:00,Bill Payment,Food,1354,FAILED,36-45,26-35,Maharashtra,ICICI,Yes Bank,iOS,5G,0,11,Thursday,0
TXN400000000131,06-01-2024 13:10:00,P2M,Healthcare,8578,SUCCESS,56+,18-25,Delhi,Yes Bank,Axis,iOS,4G,1,13,Saturday,1
TXN400000000132,10-02-2024 10:43:00,Bill Payment,Shopping,290,SUCCESS,36-45,56+,Gujarat,Yes Bank,Kotak,iOS,3G,0,10,Saturday,1
TXN400000000133,18-10-2024 07:05:00,Bill Payment,Food,16710,SUCCESS,36-45,36-45,Gujarat,Kotak,SBI,Android,WiFi,1,7,Friday,0
TXN400000000134,10-01-2024 04:58:00,P2M,Food,15949,FAILED,56+,56+,Delhi,PNB,HDFC,Android,4G,0,4,Wednesday,0
TXN400000000135,27-10-2024 06:49:00,Recharge,Grocery,5309,SUCCESS,26-35,18-25,Gujarat,Axis,PNB,iOS,5G,1,6,Sunday,1
TXN400000000136,11-04-2024 11:30:00,P2M,Healthcare,19409,FAILED,26-35,26-35,Tamil Nadu,Kotak,SBI,Android,4G,1,11,Thursday,0
TXN400000000137,19-10-2024 06:42:00,Bill Payment,Healthcare,4017,SUCCESS,36-45,36-45,Rajasthan,Kotak,PNB,Android,4G,1,6,Saturday,1
TXN400000000138,20-11-2024 04:51:00,Recharge,Grocery,17915,SUCCESS,46-55,26-35,Gujarat,Axis,HDFC,Android,WiFi,0,4,Wednesday,0
TXN400000000139,12-01-2024 20:03:00,Recharge,Shopping,804,SUCCESS,18-25,36-45,Karnataka,SBI,HDFC,iOS,4G,1,20,Friday,0
TXN400000000140,19-10-2024 14:24:00,Bill Payment,Entertainment,8924,SUCCESS,46-55,36-45,Rajasthan,PNB,Kotak,iOS,5G,0,14,Saturday,1
TXN400000000141,03-04-2024 15:30:00,P2P,Food,7553,FAILED,26-35,26-35,Karnataka,Axis,SBI,Android,3G,1,15,Wednesday,0
TXN400000000142,08-08-2024 10:09:00,P2M,Shopping,8245,SUCCESS,18-25,46-55,Karnataka,Axis,Kotak,iOS,5G,1,10,Thursday,0
TXN400000000143,13-06-2024 21:29:00,Recharge,Shopping,18990,FAILED,26-35,36-45,Tamil Nadu,Yes Bank,Yes Bank,Android,WiFi,0,21,Thursday,0
TXN400000000144,17-08-2024 00:10:00,Bill Payment,Food,12538,FAILED,18-25,18-25,Gujarat,SBI,PNB,Android,4G,0,0,Saturday,1
TXN400000000145,02-04-2024 17:50:00,P2M,Food,9379,FAILED,46-55,26-35,Karnataka,Axis,PNB,iOS,3G,1,17,Tuesday,0
TXN400000000146,12-05-2024 17:26:00,Bill Payment,Healthcare,9222,SUCCESS,56+,18-25,Maharashtra,PNB,HDFC,iOS,4G,1,17,Sunday,1
TXN400000000147,19-08-2024 16:09:00,P2P,Utilities,5046,FAILED,46-55,46-55,Maharashtra,Yes Bank,SBI,iOS,4G,0,16,Monday,0
TXN400000000148,09-12-2024 10:24:00,P2M,Healthcare,9655,FAILED,18-25,46-55,Gujarat,Yes Bank,SBI,iOS,WiFi,1,10,Monday,0
TXN400000000149,19-01-2024 14:17:00,Recharge,Entertainment,18314,FAILED,18-25,46-55,Rajasthan,PNB,PNB,Android,3G,1,14,Friday,0
TXN400000000150,26-01-2024 18:05:00,P2P,Fuel,982,FAILED,46-55,46-55,Tamil Nadu,ICICI,Kotak,Android,4G,0,18,Friday,0
TXN400000000151,03-10-2024 12:43:00,P2P,Utilities,19550,FAILED,46-55,56+,Gujarat,ICICI,SBI,Android,3G,0,12,Thursday,0
TXN400000000152,22-10-2024 15:37:00,Recharge,Grocery,13382,FAILED,46-55,18-25,Rajasthan,HDFC,PNB,iOS,3G,1,15,Tuesday,0
TXN400000000153,08-04-2024 14:07:00,P2P,Food,16884,FAILED,26-35,26-35,Karnataka,PNB,Kotak,Android,3G,0,14,Monday,0
TXN400000000154,08-06-2024 15:16:00,Bill Payment,Grocery,185,SUCCESS,46-55,18-25,Tamil Nadu,PNB,Yes Bank,Android,4G,1,15,Saturday,1
TXN400000000155,07-05-2024 09:54:00,Bill Payment,Grocery,60,SUCCESS,36-45,18-25,Maharashtra,Kotak,ICICI,Android,5G,1,9,Tuesday,0
TXN400000000156,12-04-2024 22:32:00,P2M,Healthcare,7049,SUCCESS,26-35,36-45,Delhi,Kotak,HDFC,iOS,WiFi,0,22,Friday,0
TXN400000000157,18-10-2024 06:44:00,P2P,Shopping,5847,SUCCESS,36-45,18-25,Delhi,PNB,Yes Bank,iOS,4G,0,6,Friday,0
TXN400000000158,30-01-2024 20:18:00,Recharge,Healthcare,5551,SUCCESS,26-35,46-55,Delhi,PNB,Axis,iOS,5G,1,20,Tuesday,0
TXN400000000159,16-07-2024 08:25:00,P2M,Shopping,1486,FAILED,46-55,18-25,Tamil Nadu,HDFC,Kotak,iOS,WiFi,1,8,Tuesday,0
TXN400000000160,25-04-2024 05:10:00,Recharge,Shopping,6999,SUCCESS,56+,46-55,Maharashtra,ICICI,ICICI,iOS,WiFi,0,5,Thursday,0
TXN400000000161,11-04-2024 00:10:00,Recharge,Fuel,9052,SUCCESS,36-45,56+,Rajasthan,HDFC,Axis,iOS,3G,0,0,Thursday,0
TXN400000000162,14-03-2024 15:12:00,P2P,Fuel,59,FAILED,46-55,36-45,Maharashtra,ICICI,Yes Bank,iOS,4G,1,15,Thursday,0
TXN400000000163,17-09-2024 23:40:00,P2P,Entertainment,7779,SUCCESS,26-35,46-55,Karnataka,Yes Bank,Axis,iOS,5G,1,23,Tuesday,0
TXN400000000164,08-06-2024 23:22:00,P2M,Grocery,10302,SUCCESS,26-35,18-25,Delhi,ICICI,Yes Bank,Android,5G,0,23,Saturday,1
TXN400000000165,05-07-2024 03:32:00,P2P,Entertainment,18975,FAILED,56+,36-45,Tamil Nadu,HDFC,Axis,Android,5G,1,3,Friday,0
TXN400000000166,01-10-2024 21:35:00,P2M,Fuel,15434,FAILED,18-25,26-35,Delhi,HDFC,Axis,Android,WiFi,1,21,Tuesday,0
TXN400000000167,18-05-2024 21:41:00,Recharge,Utilities,10345,FAILED,18-25,18-25,Delhi,Kotak,Kotak,iOS,5G,1,21,Saturday,1
TXN400000000168,16-02-2024 05:59:00,P2P,Healthcare,17348,FAILED,36-45,36-45,Rajasthan,Kotak,SBI,Android,3G,0,5,Friday,0
